Name;Complex;Shop;Number;;Street 01;Street 02;Town; City;Province;Code; Phone;Alternative;Fax;Email;Website
Berea Pharmacy;;;31;;Pearce Street;;Berea;East London;Eastern Cape;5241;043-721-1300;;043-721-1315;medicalaids@bereapharmacy.co.za;-
Ian Robertson Pharm;;;168;;Main Road;;Walmer;Port Elizabeth;Eastern Cape;6065;041-581-1546;;041-581-1974;ianrobertson@icon.co.za;-
Klini Med Pharmacy;;;32;;Newton Street;;Newton Park;Port Elizabeth;Eastern Cape;6045;041-365-2001;;041-365-3729;deonsch@icon.co.za;cheryl@klinicare.co.za
Nature's Own Pharmacy;The Aruim 2U;Shop 2;24;;Ring Road;;Greenacres;Port Elizabeth;Eastern Cape;6057;041-363-8555;;086-641-7704;nop@pemail.co.za;-
Schuin-Villa Pharmacy;;;322;;Cape Road;;Newton Park;Port Elizabeth;Eastern Cape;6055;041-364-2109;;041-365-2474;schuinvilla@telkomsa.net;-
The Mustard Seed;Pepper Grove Mall;Shop 12;22;;African Street;;;Grahamstown;Eastern Cape;6139;046-636-1496;;046-636-1496;mustardoffice@gmail.com;
Brandwag Apteek;Brandwag Centre;;118;;Melville Drive;;Brandwag;Bloemfontein;Free State;9301;051-444-2200;;051-444-3917;brandwagapteek@cks.co.za;-
Preller Plein Apteek;Preller Square;Shop 11;28;;Preller Square;;;Bloemfontein;Free State;9301;051-436-6666;;051-436-1553;prellera@telkomsa.net;-
Sentrum Apteek;;;;;Staat Road;;;Welkom;Free State;9459;057-353-4235;057-353-4236;057-353-4849;sentrum@telkomsa.net;-
Vryburg Apteek;;;19;;De Kock Street;;;Vryburg;Free State;8600;053-927-0281;;053-927-1195;qpc@telkomsa.net;-
Amberfield Pharmacy;Mall@Reds;Shop 39 ;46;;Roohuiskraal Road;;;Centurion;Gauteng;0046;012-656-8973;;012-656-8978 ;amberfieldpharmacy@lantic.net;-
Fresh Earth Food Store;;;1;;Lotsani Lane;;Randburg;Johannesburg;Gauteng;2195;011-646-4404;;011-646-3470;info@freshearth.co.za;-
Frutti Nutti;Vaal Mall;Shop 130 ;;;Rossini Boulevard;;;Van Der Bijl Park;Gauteng;1911;016-981-5146;;016-981-5146;fruttinutti.vaalmall@gmail.com;-
Health Equilibrium;Kolonade Centre;Shop U30;333;;Dr Van Der Merwe Ave;;;Pretoria;Gauteng;0186;012-548-0933;;012-548-0936;health@healtheq.co.za;-
Health Oasis;Lynnridge Mall;;278;;Freesia Street;;Lynnwood Ridge;Pretoria;Gauteng;0040;012-361-6619;;012-998-8043;;-
Health Shop Lynnwood;Glenfair Shopping Centre;Shop 32 ;2;;Daventry Street;;Lynnwood Ridge;Pretoria;Gauteng;0081;012-348-6110;;012-348-7299;info@healthshoplynnwood.co.za;-
Health Yard;Menlyn Park Shopping Centre;Mall 2 ;92;;Atterbury Road;;;Pretoria;Gauteng;0063;012-348-6398;;012-365-3510;info@healthyard.co.za;-
Hoppies Family Pharmacy;;;51;;3rd Street;;;Springs;Gauteng;1560;011-362-1784;;086-659-2840;;-
Killarney Riviera Pharmacy;Killarney Mall;;;;Riviera Road;;Killarney;Johannesburg;Gauteng;2193;011-646-6163;011-646-6164;011-646-9365;hilkilpharmacy@gmail.com;-
Kingston Spectrum Good Health Pharmacy;;;56;;Hendrik Verwoerd Street;;;Nigel;Gauteng;1490;011-814-8101;;011-814-7285;kingstanphy@oribi.co.za;-
Gallo Manor Pharmacy;Manor Medical centre;;187;;Kelvin Drive;;Sandton;Johannesburg;Gauteng;2057;011-804-4040;;011-804-3495;;-
May's Chemist;;;11;;Main Road;;Melville;Johannesburg;Gauteng;2109;011-726-8014;;011-726-1768;mays@mayschemist.co.za;-
Med Acres Pharmacy;Glen Acres Shopping Centre;Shop 2/3 ;190;;Monument Road;;;Kempton Park;Gauteng;1619;011-391-2399;;011-391-4555;medacres@intekom.co.za;-
Morningview Health;Morningview Shopping Centre;;100;;South Road;;Sandton;Johannesburg;Gauteng;2196;011-883-9159;;;;-
Natural Life; Brooklyn Mall;Shop 309;275;Cnr;Bronkhorst Street;;;Pretoria;Gauteng;0181;012-460-9159;;012-460-2154;ina.botha@mweb.co.za;naturallife@myweb.co.za
One Life Health;Centurion Mall;;;;Gordon Hood Road;South Street;;Centurion;Gauteng;0046;012-643-0878;;;shop@onelife.co.za;http://www.onelife.co.za
Springbok Pharmacy;Checkers Shopping Centre;Shop 3 ;;;Voortrekker Road;;;Alberton;Gauteng;1449;011-861-6600;087-805-4400;011-907-9249;info@springbokpharmacy.co.za;http://www.springbokpharmacy.co.za
Strictly Natural;Victoria Centre;Shop 17 ;;;Voortrekker Street;;;Heidelberg;Gauteng;1441;016-349-6721;;016-349-1983;strictlynatural@gmail.com;-
Taurus Mulbarton Pharmacy;Mulbarton Hospital;;25;;True North Rd;;Johannesburg South;Johannesburg;Gauteng;2059;011-432-3484;011-432-3485;011-432-2990;taurusholding@telkomsa.net;-
The Glen Pharmacy;The Glen Shopping Centre;Shop M43 ;;;Orpen Road;;Oakdene;Johannesburg;Gauteng;2190;011-435-8824;011-435-8825;;;-
Weleda Pharmacy ;;;453;Cnr;Main Road;;Bryanston;Johannesburg;Gauteng;2191;011-463-3604;;086-528-0691;sloane@weledapharmacy.co.za;-
Bright On Health;Pick 'n Pay Centre;;201;;Tara Road;;;Bluff;KwaZulu Natal;4052;031-467-3775;;031-467-3779;karasee@brightonhealth.co.za;brightonhealth@hotmail.com
Broadway Pharmacy;5 Medical Centre;;11;;Swapo Road;;;Durban North;KwaZulu Natal;4051;031-563-8216;;031-563-1204;craigs@broadwaypharmacy.co.za;-
Cascades Pharmacy;Cascades Centre;;;;Mc Carthy Drive;;;Pietermaritzburg;KwaZulu Natal;3201;033-347-3113;;033-347-3388;bdmilne@mwebco.za;-
Food For Thought;Richdens Centre;Shop 19 ;;Cnr;Hospital Road;Wood Road;;Hillcrest;KwaZulu Natal;3610;031-765-2071;;086-584-4967;claire@rdd.co.za;lagoon@wol.co.za
Gateway Health;Musgrave Shopping Centre;Shop 115A Level 1 ;115;;Musgrave Road;;;Durban;KwaZulu Natal;4001;031-201-5904;;;musgrave@gatewayhealth.co.za;-
Gateway Health;Gateway Shopping Centre;;1;;Palm Boulevard;;;Umhlanga Rocks;KwaZulu Natal;4319;031-566-5517;;031-566-5517;sales@gatewayhealth.co.za;-
Greytown Drug Store;;;138;;Pine Street;;;Greytown;KwaZulu Natal;3250;033-413-2157;;033-413-2537;gtndrugs@gom.co.za;-
Hasmed Pharmacy;Redbro Centre;Shop 1 ;16;;Parthenon Street;;;Phoenix;KwaZulu Natal;4068;031-507-7966;;086-211-3186;hasmed@telkomsa.net;-
Hayfields Pharmacy;Hayfields  Mall;;28;;Blackbarrow Road;;;Pietermaritzburg;KwaZulu Natal;3201;033-386-2547;;;;-
Health & Beauty Centre;Sanlam Centre;Shop 129 ;335;;335 Maxwell Street;;;Empangeni;KwaZulu Natal;3880;035-772-1131;035-772-4563;;;-
Health On Broadway;;;10A;;Swapo Road;;;Durban North;KwaZulu Natal;4051;031-563-8104;;;healthonbroadway@gmail.com;-
Hilton Pharmacy;The Quarry Centre;;57;;Hilton Avenue;;;Hilton;KwaZulu Natal;3245;033-343-1970;;033-343-1971;lecord@mweb.co.za;-
Howick Pharmacy;;;19;;Main Street ;;;Howick;KwaZulu Natal;3290;033-330-4144;;033-330-2102;howick.pharmacy@nicrosoft.co.za;-
Howick Village Pharmacy;Howick Medical Centre;;107;;Main Street;;;Howick;KwaZulu Natal;3290;033-330-7020;;086-518-1012;villagepharmacy@wol.co.za;-
King Edward Pharmacy;;;95;;Teignmouth Road;Berea;;Durban;KwaZulu Natal;4075;031-205-9266;;031-205-3032;kepharm@3i.co.za;-
Oval Pharmacy;;;262;;Murchison Street;;;Ladysmith;KwaZulu Natal;3370;036-637-4109;;086-242-0134;op@telkomsa.net;-
Lagoon Pharmacy;Toti Towers;Shop 4 ;407;;Kingsway Road;;;Amanzimtoti;KwaZulu Natal;4126;031-903-2828;;086-597-1190;lagoon@wol.co.za;-
Lifestyle Health;Lifestyle Shopping Centre;;445;;Main Road;;;Ballito;KwaZulu Natal;4399;032-946-0441;;032-946-0440;;-
Macrobiotic Health;;;33;;Chief Albert Luthuli Street;;;Pietermaritzburg;KwaZulu Natal;3201;033-342-8489;;033-345-1684;macrobiotichealthshop@yahoo.com;-
Medpharm Pharmacy;;;157;;Victoria Road;;;Pietermaritzburg;KwaZulu Natal;3201;033-342-3390;;033-394-3790;medpharm@absamail.co.za;-
Mt Edgecombe Pharmacy;Flanders Mall;Shop C7 ;14;;Flanders Drive;;;Mt Edgecombe;KwaZulu Natal;4302;031-539-5500;;031-539-5975;mtedgecombe@cks.co.za;-
National Road Pharmacy;Natalia Terrace;;1;;Charles Way;;;Kloof;KwaZulu Natal;3640;031-764-0311;;031-764-6201;natroadpharmacy@cks.co.za;-
Natraj Pharmacy;Merebank Shopping Centre;;;;Bombay Walk;;;Bluff;KwaZulu Natal;4052;031-468-7610;;031-461-2702;natrajpharmacy@hotmail.com;-
Naturally;Davenport Square;Shop 10 ;89;;Helen Joseph Road;;;Durban;KwaZulu Natal;4083;031-201-8769;;086-606-5891;naturallydurbansa@gmail.com;-
Nature's Pantry;Victoria Square;Shop 14;151;;Victoria Road;;;Pietermaritzburg;KwaZulu Natal;3201;033-394-7420;;033-394-7420;natures@telkomsa.net;-
Omega Pharmacy;;;604;;Old Greytown Road;;;Pietermaritzburg;KwaZulu Natal;3201;033-387-7022;;033-387-7701;omegapharmacy@telkomsa.net;-
Orient Pharmacy;Howick Centre;Shop 2 ;;;Harvard Street;;;Howick;KwaZulu Natal;3290;033-330-5416;;033-330-3812;nirma@mweb.co.za;-
Quick-Med Pharmacy;;;54;;Scott Street;;;Newcastle;KwaZulu Natal;2940;034-326-4809;;034-326-4728;gogasaeza@gmail.com;-
Scott Street Pharmacy;;;48;;Scott Street;;;Newcastle;KwaZulu Natal;2940;034-312-6367;;034-312-6373;akpharmacy@yahoo.com;-
Scott Street Pharmacy;;;153;;Scott Street;;;Scottburgh;KwaZulu Natal;4180;039-976-0650;;039-978-1906;scottstreet@eastcoast.co.za;-
Shelley Beach Pharmacy;;Shelly Centre;;;Sandown Road;;;Margate;KwaZulu Natal;4265;039-315-0306;;039-315-1865;shellybeachpharmacy@gmail.com;-
Sparkport Pharmacy;Heritage Market;;9;;Old Main Road;;;Hillcrest;KwaZulu Natal;3610;031-765-8338;;031-765-8602;dave@sparkport.co.za;-
Todd Street Pharmacy;;Shop 2;56;;Todd Street;;;Verulam;KwaZulu Natal;4340;032-533-4123;;032-533-4124;toddstreet@cks.co.za;-
Umhlanga Health Shop;Granada Centre;Shop 27 ;16;;Chartwell Drive;;;Umhlanga Rocks;KwaZulu Natal;4320;031-561-4694;;031-561-4694;dsquires@telkomsa.net;-
Umhlanga Medisport Pharmacy;Protea Mall;;;;Chartwell Drive;;;Umhlanga Rocks;KwaZulu Natal;4320;031-561-1227;;031-561-1801;davidfraser@universalhealth.co.za;-
Van Der Nest Pharmacy;;;226;;Utrecht Street;;;Vryheid;KwaZulu Natal;3100;034-982-2844;;086-550-3695;smutsvdn@lantic.net;-
Wareings Pharmacy;Shelly Boulevard;Shop 3 ;;;Main Road;;;Margate;KwaZulu Natal;4265;039-315-0796;;039-315-5728;;-
Wembley Pharmacy;Parklane Centre;;26;;Chief Albert Luthuli Street;;;Pietermaritzburg;KwaZulu Natal;3201;033-394-7855;;033-345-1039;wembleypharmacy@futurenet.co.za;-
Gateway Health Shop (Westville);Westville Mall;Shop 19 A;2;;Menston Road;;;Westville;KwaZulu Natal;3629;031-266-5397;;031-266-5397;westville@gatewayhealth.co.za;-
Eastdene Pharmacy;Eastdene Shopping Centre;Shop 14 ;;;Verdoon Street;;;Middleburg;Mpumalanga;1055;013-243-2158;;013-243-5358;east.pharm@mweb.co.za;-
Mopani Pharmacy Crossings;The Crossings Centre;;;;Madiba Drive;;;Nelspruit;Mpumalanga;1211;013-755-5500;;013-755-5599;iafrica@mopani.co.za;-
Mopani Pharmacy Ilanga;Ilanga Mall;Shop LG01 ;;Cnr;Flamboyant Street;Bitterbessie Street;;Nelspruit;Mpumalanga;1211;013-755-5500;;;iafrica@mopani.co.za;-
Nature's Health;Saveway Crescent Centre;Shop 13 ;;;Mandela Drive;;;Emalahleni;Mpumalanga;1035;013-656-0061;;;;-
Rivermall Pharmacy;Riverside Mall;Shop 20 ;;Cnr;Madiba Drive;Government Boulevard;;Nelspruit;Mpumalanga;1211;013-767-0208;;;;-
Russells Pharmacy;Promanade Shopping Centre;Shop 31;;Cnr;Samora Machel Drive;Henshall Street;;Nelspruit;Mpumalanga;1201;013-752-2101;;013-752-3587;russellsmed@cks.co.za;-
The Health Shoppe;;;23;;Peter Graham Street;;;White River;Mpumalanga;1240;013-751-1361;;086-619-3414;rbruckner@gmail .com;-
Transvalia Pharmacy;Sasol Pension Fund Building;Shop 21 ;;;Lurgiplein Street;;;Secunda;Mpumalanga;2302;017-634-7778/9;;017-634-7545;office@transvalia.co.za;-
Vallei Pharmacy( Pharmacy at Spar)new name;Bareki Mall;Shop 44 ;;Cnr;Van Riebeeck Street;Chris Wiid;;Groblersdal;Mpumalanga;0470;013-262-4826;;013-262-3693;vallei@greyling.co.za (old);spargd@pgagroup.co.za (new)
Kloof Apteek;;;56;;Nelson Mandela Street;;;Rustenburg;North West ;0299;014-592-7986;;014-592-7986;mwkloof@mweb.co.za;-
Medi-Plus Pharmacy;Tzaneng Mall;Shop 42A;;;Danie Joubert Street;Agatha Street;;Tzaneen;North West ;0850;015-307-5038;015-307-5039;015-307-6940;mediplus@pharmacies.co.za;-
Savannah Pharmacy;;;17;;Grobler Street;;;Polokwane;North West ;0700;015-296-1125;;;;-
Constantia Pharmacy;Constantia Village Centre;;;Cnr;Spaanschmat River Road;Doordrift Road;;Constantia;Western Cape;7806;021-794-3713;;021-794-7336;info@constantiapharmacy.co.za;hmuller@constantiapharmacy.co.za
Die Boord Pharmacy;Die Boord Shopping Centre;;;Cnr;Saffraan Avenue;Rokewood Road;;Stellenbosch;Western Cape;7600;021-887-9400;;021-887-9399;endrie@boordapteek.co.za;-
Durbell Cape Gate;Cape Gate Shopping Centre;Shop L49;;;Capegate Precinct 2;Okavango Road;;Brackenfell;Western Cape;7560;021-982-8077;;021-982-6745;cgadmin@durbellgroup.co.za;http://www.durbellpharmacies.co.za
Durbell Klini-Kem Pharmacy;Delmar Centre;Shop 12;;Cnr;Rothschild Boulevard;Elvy Street;Panorama;Cape Town;Western Cape;7500;021-930-2590;;021-914-1717;klinikem@durbellgroup.co.za;henk@durbellgroup.co.za
Durbell Oudenhof Pharmacy;Van Riebeeckshof Mall;Shop 13;;Cnr;Van Riebeeckshof Road;Koelenhof Road;Welgedacht;Bellville;Western Cape;7530;021-913-0331;021-913-0332;021-913-0336;ohman@durbellgroup.co.za;http://www.durbellpharmacies.co.za
Durbell Palm Grove;Palm Grove Centre;Shop 11;;Cnr;Durbanville Avenue;The Hills;;Durbanville;Western Cape;7550;021-975-6570;;021-976-8941;pgadmin@durbellgroup.co.za;http://www.durbellpharmacies.co.za
Durbell Tygervalley;Tygervalley Centre;Shop 553;;Cnr;Willie van Schoor Avenue;Tijger Park Service Road;;Bellville;Western Cape;7530;021-914-1777;;021-914-1717;henk@durbellgroup.co.za;http://www.durbellpharmacies.co.za
Durbell Vita Kem Big Bay;Seaside Village;Shop 9;;Cnr;Otto Du Plessis Drive (M14);Cormorant Avenue;;Big Bay;Western Cape;7441;021-554-5037;;021-554-4893;senman@durbellgroup.co.za;031209m@shoprite.co.za
E Coetzee Pharmacy;;;72;;York Street;;;George;Western Cape;6530;044-874-3188;;044-873-5216;epharm.ecoetzee@telkomsa.net;-
Fanie's Pharmacy;;;93;;Marsh Street;;;Mossel Bay;Western Cape;6500;044-691-1505;;044-691-2687;fanies@pixie.co.za;-
George-Kem Pharmacy;Saint Georges Square;;;Cnr;Knysna Street;3rd Street;;George;Western Cape;6529;044-871-1120;;044-871-1136;geokem@absamail.co.za;-
Health Fayre;Riverside Mall;Shop 19;;Cnr;Belmont Road;Main Road;;Rondebosch;Western Cape;7700;021-685-3288;;;ann.vanrooyen@yahoo.com;-
Health Matters;Sea Point Medical Centre;;3;;Kloof Road;;;Sea Point;Western Cape;8060;021-434-5490;;021-439-9432;liora@iafrica.com;-
Medical Centre Pharmacy;;;;Cnr;York Street;Gloucester Lane;;George;Western Cape;6530;044-873-5752;;044-874-6195;"mcpharm@mweb.co.za	";-
M-kem Medicine City;Oakdale Centre;;;Cnr;Durban Road;Raglan Street;;Bellville;Western Cape;7530;021-948-5706;021-948-5707;021-949-8108;mkem@mkem.co.za;http://www.mkem.co.za
Mosskem Pharmacy;Spar Centre;;1;;Kompanje Avenue;;;Hartenbos;Western Cape;6520;044-601-6700;;044-695-1610;iti26015@mweb.co.za;-
Pharmacy City;N1 City Centre;Shop 10;;Cnr;Louwtjie Rothman Street;Syfret Douglas Street;;Goodwood;Western Cape;7463;021-595-1433;;021-595-1817;pharmcity@telkomsa.net;-
Protea Pharmacy;;;92;;York Street;;;George;Western Cape;6530;044-874-3124;;044-873-5438;proteagrg@absamail.co.za ;-
Quenets Pharmacy;;;72;;High Street;;;Worcester;Western Cape;6849;023-347-0844;;086-677-5454;pharmacy@quenets.co.za;http://www.quenets.co.za
Roodeberg Pharmacy;;;171;;Main Road;;;Paarl;Western Cape;7646;021-871-1034;;021-872-5458;roodeberg@icon.co.za;-
Sedgefield Pharmacy;Woodpecker Mall;Shop 1;;;Main Service Street;;;Sedgefield;Western Cape;6573;044-343-1628;;044-343-1110;sedgefield@cks.co.za;-
Stelkor Pharmacy;Stelkor Medical Centre;;34;;Piet Retief Street;;;Stellenbosch;Western Cape;7600;021-883-3162;;021-887-8499;info@stelkor.co.za;http://www.stelkor.co.za
Stilbaai Pharmacy;;;;Cnr;Main Road;Ebenhaeser Cres;;Stilbaai;Western Cape;6674;028-754-1436;;028-754-2878;fynbosapteek@telkomsa.net;-
Sunset Pharmacy (New Fynbos Apteek);Sea Point Medical Centre;;3;;Kloof Road;;;Sea Point;Western Cape;8060;021-434-3333;;021-439-9432;sunsetpharm@mweb.co.za;-
Sunvalley Pharmacy;Longbeach Mall;Shop G68;;Cnr;Buller Louw Drive;Sunnydale Road;Sun Valley;Cape Town;Western Cape;7975;021-785-3470;;021-785-3520;svpinfo@wynsun.co.za;http://www.sunvalleypharmacy.co.za
Synergy Pharmacy (David Bloom);Tokai Centre;Shop 23;;Cnr;Tokai Road;Main Road;;Tokai;Western Cape;7945;021-671-7100;;021-671-5325;ssp@synergypharmacy.co.za;-
The Good Stuff Health Shop;Cavendish Square;Shop L18;;Cnr;Cavendish Street;Warwick Street;;Claremont;Western Cape;7708;021-674-4380;;021-674-4380;noelenek@iafrica.com;-
